04/09/15 Jack King phototran 2 2000Hz
264 R 1099 0x52 0x0 0x4 0x4b 0x2c 0xff 
265 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
266 R 1043 0x52 0x0 0x4 0x13 0x2c 0xff 
267 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
268 F 1099 0x46 0x0 0x4 0x4b 0x2c 0xff 
269 R 880 0x52 0x0 0x3 0x70 0x2c 0xff 
270 F 1001 0x46 0x0 0x3 0xe9 0x2c 0xff 
271 R 1094 0x52 0x0 0x4 0x46 0x2c 0xff 
272 F 876 0x46 0x0 0x3 0x6c 0x2c 0xff 
273 R 1007 0x52 0x0 0x3 0xef 0x2c 0xff 
274 F 1095 0x46 0x0 0x4 0x47 0x2c 0xff 
275 R 868 0x52 0x0 0x3 0x64 0x2c 0xff 
276 F 1011 0x46 0x0 0x3 0xf3 0x2c 0xff 
277 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
278 F 862 0x46 0x0 0x3 0x5e 0x2c 0xff 
279 R 1016 0x52 0x0 0x3 0xf8 0x2c 0xff 
280 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
281 R 856 0x52 0x0 0x3 0x58 0x2c 0xff 
282 F 1026 0x46 0x0 0x4 0x2 0x2c 0xff 
283 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
284 F 849 0x46 0x0 0x3 0x51 0x2c 0xff 
285 R 1030 0x52 0x0 0x4 0x6 0x2c 0xff 
286 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
287 R 842 0x52 0x0 0x3 0x4a 0x2c 0xff 
288 F 1037 0x46 0x0 0x4 0xd 0x2c 0xff 
289 R 1095 0x52 0x0 0x4 0x47 0x2c 0xff 
290 F 839 0x46 0x0 0x3 0x47 0x2c 0xff 
291 R 1044 0x52 0x0 0x4 0x14 0x2c 0xff 
292 R 936 0x52 0x0 0x3 0xa8 0x2c 0xff 
293 F 1098 0x46 0x0 0x4 0x4a 0x2c 0xff 
294 R 882 0x52 0x0 0x3 0x72 0x2c 0xff 
295 F 997 0x46 0x0 0x3 0xe5 0x2c 0xff 
296 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
297 F 876 0x46 0x0 0x3 0x6c 0x2c 0xff 
298 R 1003 0x52 0x0 0x3 0xeb 0x2c 0xff 
299 F 1099 0x46 0x0 0x4 0x4b 0x2c 0xff 
300 R 868 0x52 0x0 0x3 0x64 0x2c 0xff 
301 F 1011 0x46 0x0 0x3 0xf3 0x2c 0xff 
302 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
303 F 862 0x46 0x0 0x3 0x5e 0x2c 0xff 
304 R 1016 0x52 0x0 0x3 0xf8 0x2c 0xff 
305 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
306 R 856 0x52 0x0 0x3 0x58 0x2c 0xff 
307 F 1023 0x46 0x0 0x3 0xff 0x2c 0xff 
308 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
309 F 852 0x46 0x0 0x3 0x54 0x2c 0xff 
310 R 1030 0x52 0x0 0x4 0x6 0x2c 0xff 
311 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
312 R 842 0x52 0x0 0x3 0x4a 0x2c 0xff 
313 F 1036 0x46 0x0 0x4 0xc 0x2c 0xff 
314 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
315 F 839 0x46 0x0 0x3 0x47 0x2c 0xff 
316 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
317 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
318 R 849 0x52 0x0 0x3 0x51 0x2c 0xff 
319 F 1032 0x46 0x0 0x4 0x8 0x2c 0xff 
320 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
321 F 842 0x46 0x0 0x3 0x4a 0x2c 0xff 
322 R 1036 0x52 0x0 0x4 0xc 0x2c 0xff 
323 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
324 R 836 0x52 0x0 0x3 0x44 0x2c 0xff 
325 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
326 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
327 R 1102 0x52 0x0 0x4 0x4e 0x2c 0xff 
328 F 878 0x46 0x0 0x3 0x6e 0x2c 0xff 
329 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
330 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
331 R 874 0x52 0x0 0x3 0x6a 0x2c 0xff 
332 F 1005 0x46 0x0 0x3 0xed 0x2c 0xff 
333 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
334 F 869 0x46 0x0 0x3 0x65 0x2c 0xff 
335 R 1013 0x52 0x0 0x3 0xf5 0x2c 0xff 
336 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
337 R 860 0x52 0x0 0x3 0x5c 0x2c 0xff 
338 F 1018 0x46 0x0 0x3 0xfa 0x2c 0xff 
339 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
340 F 855 0x46 0x0 0x3 0x57 0x2c 0xff 
341 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
342 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
343 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
344 F 1029 0x46 0x0 0x4 0x5 0x2c 0xff 
345 R 1100 0x52 0x0 0x4 0x4c 0x2c 0xff 
346 F 842 0x46 0x0 0x3 0x4a 0x2c 0xff 
347 R 1036 0x52 0x0 0x4 0xc 0x2c 0xff 
348 F 1098 0x46 0x0 0x4 0x4a 0x2c 0xff 
349 R 835 0x52 0x0 0x3 0x43 0x2c 0xff 
350 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
351 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
352 R 1101 0x52 0x0 0x4 0x4d 0x2c 0xff 
353 F 879 0x46 0x0 0x3 0x6f 0x2c 0xff 
354 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
355 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
356 R 874 0x52 0x0 0x3 0x6a 0x2c 0xff 
357 F 1005 0x46 0x0 0x3 0xed 0x2c 0xff 
358 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
359 F 869 0x46 0x0 0x3 0x65 0x2c 0xff 
360 R 1010 0x52 0x0 0x3 0xf2 0x2c 0xff 
361 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
362 R 863 0x52 0x0 0x3 0x5f 0x2c 0xff 
363 F 1018 0x46 0x0 0x3 0xfa 0x2c 0xff 
364 R 1097 0x52 0x0 0x4 0x49 0x2c 0xff 
365 F 856 0x46 0x0 0x3 0x58 0x2c 0xff 
366 R 1023 0x52 0x0 0x3 0xff 0x2c 0xff 
367 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
368 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
369 F 1029 0x46 0x0 0x4 0x5 0x2c 0xff 
370 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
371 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
372 R 1037 0x52 0x0 0x4 0xd 0x2c 0xff 
373 F 1094 0x46 0x0 0x4 0x46 0x2c 0xff 
374 R 839 0x52 0x0 0x3 0x47 0x2c 0xff 
375 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
376 F 937 0x46 0x0 0x3 0xa9 0x2c 0xff 
377 R 1098 0x52 0x0 0x4 0x4a 0x2c 0xff 
378 F 882 0x46 0x0 0x3 0x72 0x2c 0xff 
379 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
380 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
381 R 874 0x52 0x0 0x3 0x6a 0x2c 0xff 
382 F 1004 0x46 0x0 0x3 0xec 0x2c 0xff 
383 R 1098 0x52 0x0 0x4 0x4a 0x2c 0xff 
384 F 869 0x46 0x0 0x3 0x65 0x2c 0xff 
385 R 1009 0x52 0x0 0x3 0xf1 0x2c 0xff 
386 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
387 R 863 0x52 0x0 0x3 0x5f 0x2c 0xff 
388 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
389 R 1100 0x52 0x0 0x4 0x4c 0x2c 0xff 
390 F 855 0x46 0x0 0x3 0x57 0x2c 0xff 
391 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
392 F 1096 0x46 0x0 0x4 0x48 0x2c 0xff 
393 R 850 0x52 0x0 0x3 0x52 0x2c 0xff 
394 F 1029 0x46 0x0 0x4 0x5 0x2c 0xff 
395 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
396 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
397 R 1034 0x52 0x0 0x4 0xa 0x2c 0xff 
398 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
399 R 839 0x52 0x0 0x3 0x47 0x2c 0xff 
400 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
401 R 1096 0x52 0x0 0x4 0x48 0x2c 0xff 
402 F 848 0x46 0x0 0x3 0x50 0x2c 0xff 
403 R 1030 0x52 0x0 0x4 0x6 0x2c 0xff 
404 F 1097 0x46 0x0 0x4 0x49 0x2c 0xff 
405 R 843 0x52 0x0 0x3 0x4b 0x2c 0xff 
406 F 1036 0x46 0x0 0x4 0xc 0x2c 0xff 
407 R 1099 0x52 0x0 0x4 0x4b 0x2c 0xff 
408 F 835 0x46 0x0 0x3 0x43 0x2c 0xff 
409 R 1043 0x52 0x0 0x4 0x13 0x2c 0xff 
