phototran 2 330Hz siggen Jack King 04/10/15
293 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
294 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
295 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
296 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
297 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
298 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
299 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
300 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
301 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
302 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
303 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
304 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
305 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
306 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
307 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
308 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
309 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
310 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
311 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
312 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
313 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
314 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
315 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
316 F 1918 0x46 0x0 0x7 0x7e 0x2c 0xff 
317 R 949 0x52 0x0 0x3 0xb5 0x2c 0xff 
318 F 949 0x46 0x0 0x3 0xb5 0x2c 0xff 
319 R 950 0x52 0x0 0x3 0xb6 0x2c 0xff 
320 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
321 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
322 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
323 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
324 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
325 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
326 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
327 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
328 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
329 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
330 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
331 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
332 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
333 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
334 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
335 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
336 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
337 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
338 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
339 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
340 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
341 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
342 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
343 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
344 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
345 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
346 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
347 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
348 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
349 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
350 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
351 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
352 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
353 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
354 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
355 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
356 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
357 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
358 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
359 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
360 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
361 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
362 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
363 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
364 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
365 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
366 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
367 F 1918 0x46 0x0 0x7 0x7e 0x2c 0xff 
368 R 949 0x52 0x0 0x3 0xb5 0x2c 0xff 
369 F 949 0x46 0x0 0x3 0xb5 0x2c 0xff 
370 R 950 0x52 0x0 0x3 0xb6 0x2c 0xff 
371 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
372 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
373 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
374 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
375 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
376 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
377 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
378 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
379 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
380 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
381 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
382 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
383 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
384 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
385 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
386 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
387 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
388 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
389 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
390 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
391 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
392 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
393 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
394 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
395 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
396 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
397 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
398 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
399 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
400 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
401 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
402 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
403 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
404 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
405 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
406 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
407 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
408 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
409 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
410 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
411 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
412 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
413 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
414 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
415 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
416 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
417 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
418 F 1918 0x46 0x0 0x7 0x7e 0x2c 0xff 
419 R 949 0x52 0x0 0x3 0xb5 0x2c 0xff 
420 F 949 0x46 0x0 0x3 0xb5 0x2c 0xff 
421 R 950 0x52 0x0 0x3 0xb6 0x2c 0xff 
422 F 960 0x46 0x0 0x3 0xc0 0x2c 0xff 
423 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
424 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
