04/09/15 Jack King phototran 2 1000Hz
296 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
297 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
298 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
299 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
300 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
301 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
302 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
303 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
304 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
305 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
306 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
307 F 1277 0x46 0x0 0x4 0xfd 0x2c 0xff 
308 R 939 0x52 0x0 0x3 0xab 0x2c 0xff 
309 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
310 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
311 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
312 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
313 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
314 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
315 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
316 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
317 F 1270 0x46 0x0 0x4 0xf6 0x2c 0xff 
318 R 939 0x52 0x0 0x3 0xab 0x2c 0xff 
319 F 939 0x46 0x0 0x3 0xab 0x2c 0xff 
320 R 944 0x52 0x0 0x3 0xb0 0x2c 0xff 
321 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
322 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
323 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
324 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
325 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
326 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
327 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
328 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
329 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
330 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
331 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
332 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
333 R 1276 0x52 0x0 0x4 0xfc 0x2c 0xff 
334 F 938 0x46 0x0 0x3 0xaa 0x2c 0xff 
335 R 942 0x52 0x0 0x3 0xae 0x2c 0xff 
336 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
337 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
338 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
339 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
340 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
341 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
342 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
343 R 1270 0x52 0x0 0x4 0xf6 0x2c 0xff 
344 F 936 0x46 0x0 0x3 0xa8 0x2c 0xff 
345 R 943 0x52 0x0 0x3 0xaf 0x2c 0xff 
346 F 943 0x46 0x0 0x3 0xaf 0x2c 0xff 
347 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
348 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
349 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
