PhotoTran 2 Sig Gen 1MHz Jack King 04/09/15
258 R 1000 0x52 0x0 0x3 0xe8 0x2c 0xff 
259 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
260 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
261 R 1018 0x52 0x0 0x3 0xfa 0x2c 0xff 
262 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
263 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
264 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
265 R 1001 0x52 0x0 0x3 0xe9 0x2c 0xff 
266 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
267 R 997 0x52 0x0 0x3 0xe5 0x2c 0xff 
268 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
269 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
270 R 993 0x52 0x0 0x3 0xe1 0x2c 0xff 
271 R 987 0x52 0x0 0x3 0xdb 0x2c 0xff 
272 R 1011 0x52 0x0 0x3 0xf3 0x2c 0xff 
273 R 969 0x52 0x0 0x3 0xc9 0x2c 0xff 
274 F 1004 0x46 0x0 0x3 0xec 0x2c 0xff 
275 F 975 0x46 0x0 0x3 0xcf 0x2c 0xff 
276 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
277 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
278 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
279 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
280 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
281 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
282 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
283 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
284 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
285 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
286 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
287 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
288 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
289 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
290 R 986 0x52 0x0 0x3 0xda 0x2c 0xff 
291 R 994 0x52 0x0 0x3 0xe2 0x2c 0xff 
