04/09/15 Jack King photo tran 2 750Hz
320 F 1249 0x46 0x0 0x4 0xe1 0x2c 0xff 
321 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
322 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
323 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
324 F 1249 0x46 0x0 0x4 0xe1 0x2c 0xff 
325 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
326 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
327 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
328 F 1249 0x46 0x0 0x4 0xe1 0x2c 0xff 
329 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
330 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
331 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
332 F 1255 0x46 0x0 0x4 0xe7 0x2c 0xff 
333 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
334 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
335 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
336 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
337 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
338 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
339 R 1251 0x52 0x0 0x4 0xe3 0x2c 0xff 
340 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
341 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
342 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
343 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
344 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
345 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
346 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
347 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
348 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
349 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
350 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
351 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
352 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
353 R 1254 0x52 0x0 0x4 0xe6 0x2c 0xff 
354 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
355 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
356 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
357 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
358 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
359 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
360 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
361 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
362 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
363 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
364 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
365 R 1252 0x52 0x0 0x4 0xe4 0x2c 0xff 
366 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
367 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
368 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
369 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
370 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
371 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
372 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
373 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
374 F 1253 0x46 0x0 0x4 0xe5 0x2c 0xff 
375 R 1255 0x52 0x0 0x4 0xe7 0x2c 0xff 
376 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
377 R 1253 0x52 0x0 0x4 0xe5 0x2c 0xff 
378 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
379 R 1256 0x52 0x0 0x4 0xe8 0x2c 0xff 
380 F 1252 0x46 0x0 0x4 0xe4 0x2c 0xff 
