phototran 2 318Hz siggen Jack King 04/10/15
345 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
346 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
347 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
348 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
349 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
350 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
351 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
352 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
353 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
354 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
355 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
356 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
357 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
358 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
359 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
360 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
361 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
362 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
363 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
364 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
365 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
366 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
367 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
368 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
369 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
370 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
371 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
372 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
373 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
374 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
375 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
376 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
