04/09/15 Jack King phototran 2 5000Hz
255 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
256 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
257 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
258 F 963 0x46 0x0 0x3 0xc3 0x2c 0xff 
259 R 1041 0x52 0x0 0x4 0x11 0x2c 0xff 
260 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
261 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
262 F 1018 0x46 0x0 0x3 0xfa 0x2c 0xff 
263 R 962 0x52 0x0 0x3 0xc2 0x2c 0xff 
264 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
265 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
266 F 988 0x46 0x0 0x3 0xdc 0x2c 0xff 
267 R 1016 0x52 0x0 0x3 0xf8 0x2c 0xff 
268 F 963 0x46 0x0 0x3 0xc3 0x2c 0xff 
269 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
270 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
271 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
272 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
273 R 965 0x52 0x0 0x3 0xc5 0x2c 0xff 
274 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
275 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
276 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
277 R 1016 0x52 0x0 0x3 0xf8 0x2c 0xff 
278 F 964 0x46 0x0 0x3 0xc4 0x2c 0xff 
279 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
280 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
281 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
282 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
283 R 965 0x52 0x0 0x3 0xc5 0x2c 0xff 
284 F 1043 0x46 0x0 0x4 0x13 0x2c 0xff 
285 R 937 0x52 0x0 0x3 0xa9 0x2c 0xff 
286 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
287 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
288 F 963 0x46 0x0 0x3 0xc3 0x2c 0xff 
289 R 1041 0x52 0x0 0x4 0x11 0x2c 0xff 
290 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
291 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
292 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
293 R 965 0x52 0x0 0x3 0xc5 0x2c 0xff 
294 F 1040 0x46 0x0 0x4 0x10 0x2c 0xff 
295 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
296 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
297 R 1017 0x52 0x0 0x3 0xf9 0x2c 0xff 
298 F 963 0x46 0x0 0x3 0xc3 0x2c 0xff 
299 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
300 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
301 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
302 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
303 R 965 0x52 0x0 0x3 0xc5 0x2c 0xff 
304 F 1039 0x46 0x0 0x4 0xf 0x2c 0xff 
305 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
306 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
307 R 1016 0x52 0x0 0x3 0xf8 0x2c 0xff 
308 F 964 0x46 0x0 0x3 0xc4 0x2c 0xff 
309 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
310 F 939 0x46 0x0 0x3 0xab 0x2c 0xff 
311 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
312 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
313 R 965 0x52 0x0 0x3 0xc5 0x2c 0xff 
314 F 1039 0x46 0x0 0x4 0xf 0x2c 0xff 
315 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
316 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
317 R 1016 0x52 0x0 0x3 0xf8 0x2c 0xff 
318 F 964 0x46 0x0 0x3 0xc4 0x2c 0xff 
319 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
320 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
321 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
322 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
323 R 965 0x52 0x0 0x3 0xc5 0x2c 0xff 
324 F 1040 0x46 0x0 0x4 0x10 0x2c 0xff 
325 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
326 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
327 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
328 F 967 0x46 0x0 0x3 0xc7 0x2c 0xff 
329 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
330 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
331 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
332 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
333 R 965 0x52 0x0 0x3 0xc5 0x2c 0xff 
334 F 1039 0x46 0x0 0x4 0xf 0x2c 0xff 
335 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
336 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
337 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
338 F 967 0x46 0x0 0x3 0xc7 0x2c 0xff 
339 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
340 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
341 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
342 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
343 R 965 0x52 0x0 0x3 0xc5 0x2c 0xff 
344 F 1039 0x46 0x0 0x4 0xf 0x2c 0xff 
345 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
346 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
347 R 1014 0x52 0x0 0x3 0xf6 0x2c 0xff 
348 F 967 0x46 0x0 0x3 0xc7 0x2c 0xff 
349 R 1040 0x52 0x0 0x4 0x10 0x2c 0xff 
350 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
351 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
352 F 1015 0x46 0x0 0x3 0xf7 0x2c 0xff 
353 R 965 0x52 0x0 0x3 0xc5 0x2c 0xff 
354 F 1039 0x46 0x0 0x4 0xf 0x2c 0xff 
355 R 941 0x52 0x0 0x3 0xad 0x2c 0xff 
356 R 991 0x52 0x0 0x3 0xdf 0x2c 0xff 
357 F 989 0x46 0x0 0x3 0xdd 0x2c 0xff 
358 R 1027 0x52 0x0 0x4 0x3 0x2c 0xff 
359 F 953 0x46 0x0 0x3 0xb9 0x2c 0xff 
360 R 1051 0x52 0x0 0x4 0x1b 0x2c 0xff 
361 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
362 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
363 F 1025 0x46 0x0 0x4 0x1 0x2c 0xff 
364 R 955 0x52 0x0 0x3 0xbb 0x2c 0xff 
365 F 1050 0x46 0x0 0x4 0x1a 0x2c 0xff 
366 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
367 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
368 R 1027 0x52 0x0 0x4 0x3 0x2c 0xff 
369 F 953 0x46 0x0 0x3 0xb9 0x2c 0xff 
370 R 1051 0x52 0x0 0x4 0x1b 0x2c 0xff 
371 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
372 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
373 F 1025 0x46 0x0 0x4 0x1 0x2c 0xff 
374 R 955 0x52 0x0 0x3 0xbb 0x2c 0xff 
375 F 1050 0x46 0x0 0x4 0x1a 0x2c 0xff 
376 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
377 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
378 R 1027 0x52 0x0 0x4 0x3 0x2c 0xff 
379 F 953 0x46 0x0 0x3 0xb9 0x2c 0xff 
380 R 1051 0x52 0x0 0x4 0x1b 0x2c 0xff 
381 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
382 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
383 F 1025 0x46 0x0 0x4 0x1 0x2c 0xff 
384 R 955 0x52 0x0 0x3 0xbb 0x2c 0xff 
385 F 1050 0x46 0x0 0x4 0x1a 0x2c 0xff 
386 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
387 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
388 R 1027 0x52 0x0 0x4 0x3 0x2c 0xff 
389 F 953 0x46 0x0 0x3 0xb9 0x2c 0xff 
390 R 1051 0x52 0x0 0x4 0x1b 0x2c 0xff 
391 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
392 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
393 F 1025 0x46 0x0 0x4 0x1 0x2c 0xff 
394 R 955 0x52 0x0 0x3 0xbb 0x2c 0xff 
395 F 1050 0x46 0x0 0x4 0x1a 0x2c 0xff 
396 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
397 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
398 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
399 F 956 0x46 0x0 0x3 0xbc 0x2c 0xff 
400 R 1051 0x52 0x0 0x4 0x1b 0x2c 0xff 
401 F 940 0x46 0x0 0x3 0xac 0x2c 0xff 
402 R 979 0x52 0x0 0x3 0xd3 0x2c 0xff 
403 F 1025 0x46 0x0 0x4 0x1 0x2c 0xff 
404 R 955 0x52 0x0 0x3 0xbb 0x2c 0xff 
405 F 1050 0x46 0x0 0x4 0x1a 0x2c 0xff 
406 R 940 0x52 0x0 0x3 0xac 0x2c 0xff 
407 F 980 0x46 0x0 0x3 0xd4 0x2c 0xff 
408 R 1024 0x52 0x0 0x4 0x0 0x2c 0xff 
409 F 957 0x46 0x0 0x3 0xbd 0x2c 0xff 
410 R 1050 0x52 0x0 0x4 0x1a 0x2c 0xff 
