04/09/15 Jack King phototran 2 500Hz
411 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
412 R 1307 0x52 0x0 0x5 0x1b 0x2c 0xff 
413 F 838 0x46 0x0 0x3 0x46 0x2c 0xff 
414 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
415 F 1303 0x46 0x0 0x5 0x17 0x2c 0xff 
416 R 842 0x52 0x0 0x3 0x4a 0x2c 0xff 
417 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
418 R 1300 0x52 0x0 0x5 0x14 0x2c 0xff 
419 F 845 0x46 0x0 0x3 0x4d 0x2c 0xff 
420 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
421 F 1298 0x46 0x0 0x5 0x12 0x2c 0xff 
422 R 846 0x52 0x0 0x3 0x4e 0x2c 0xff 
423 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
424 R 1297 0x52 0x0 0x5 0x11 0x2c 0xff 
