04/09/15 Jack King phototran 2 75KHz
262 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
263 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
264 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
265 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
266 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
267 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
268 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
269 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
270 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
271 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
272 F 987 0x46 0x0 0x3 0xdb 0x2c 0xff 
273 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
274 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
275 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
276 F 986 0x46 0x0 0x3 0xda 0x2c 0xff 
277 F 993 0x46 0x0 0x3 0xe1 0x2c 0xff 
278 F 994 0x46 0x0 0x3 0xe2 0x2c 0xff 
279 R 983 0x52 0x0 0x3 0xd7 0x2c 0xff 
280 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
281 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
282 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
283 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
284 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
285 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
286 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
287 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
288 F 991 0x46 0x0 0x3 0xdf 0x2c 0xff 
289 R 989 0x52 0x0 0x3 0xdd 0x2c 0xff 
290 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
291 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
292 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
293 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
294 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
295 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
296 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
297 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
298 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
299 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
300 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
301 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
302 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
303 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
304 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
305 R 990 0x52 0x0 0x3 0xde 0x2c 0xff 
306 F 990 0x46 0x0 0x3 0xde 0x2c 0xff 
